SampleID,mET12avg,Precip1,Precip3avg,Precip6avg,Tmax0,Tmax2,CaO_Mean,S_Mean,UCS_Mean,AtmCa_AVE,KffactWs,ClayWs,WtDepWs,PermWs,PctConif,PctMxFst,PctShrb,PctGrs,PctHbWet
R01_871_116,50.17,168.48,125.07,107.61,25.62,21.42,4.48,0.04,125.81,0.06,0.26,13.06,84.27,5.46,5.01,48.2,1.01,0.41,0
R01_911_55,41.18,79.01,89.78,71.07,23.33,17.24,4.26,0.04,129.55,0.06,0.23,12.33,75.63,4.72,16.95,36.23,6.29,1.2,0.52
R01_1313_57,41.98,167.2,123.74,104.26,19.68,22.93,2.05,0.05,120.05,0.06,0.25,13.06,84.27,5.46,3.54,43.07,4.86,0,0.5
R01_1313_71,43.74,259.51,202.19,164.01,5.43,20.56,2.05,0.05,120.05,0.06,0.25,13.06,84.27,5.46,3.54,43.07,4.86,0,0.5
R01_1457_43,39,89.09,90.19,77.14,24.54,15.81,4.15,0.05,115.76,0.06,0.24,12.98,83.07,4.72,13.42,38.97,5.92,1.09,0.68
R01_2799_116,43.17,150.46,130.33,109.27,25.72,21.17,7.66,0.01,166.74,0.05,0.25,16.78,66.32,4.07,4.62,34.38,3.87,0.24,0.2
R01_2921_118,45.64,38.54,82.73,107,8.87,25.72,4.83,0.04,125.69,0.06,0.23,12.59,84.12,5.29,13.96,35.89,6.11,0.69,0.65
R01_2921_116,44.65,155.6,120.24,104.66,25.72,21.28,4.83,0.04,125.69,0.06,0.23,12.59,84.12,5.29,13.96,35.89,6.11,0.69,0.65
R01_3465_117,45.87,80.2,80.36,104.8,19.97,22.6,0.42,0.03,101.98,0.05,0.26,13.06,84.27,5.46,4.15,31.32,6.19,1.14,2.62
R01_3917_43,41.01,86.2,87.94,82.71,25.24,16.28,5.97,0.04,126.08,0.05,0.23,13.29,77.54,5.88,19.06,36.89,5.95,0.79,0.9
